kicnumber|teff_lamost_lasp|teff_lamost_lasp_err|logg_lamost_lasp|logg_lamost_lasp_err|feh_lamost_lasp|feh_lamost_lasp_err|Lum_gaia|E_Lum|e_Lum
1025986|5775.33|190.62|4.442|0.313|0.138|0.185|0.851582159724|0.0142195794783|0.0140718479044
1028018|5783.57|48.2|4.284|0.079|0.168|0.046|1.10159976218|0.0266800292641|0.0258956095787
1160891|6812.27|128.61|4.09|0.211|-0.127|0.125|12.4977763519|0.599680326407|0.565121835365
1161620|5861.74|117.54|4.437|0.193|0.093|0.114|1.01594015116|0.0275407177079|0.0267661091303
1162051|5667.02|20.98|4.514|0.034|-0.067|0.019|0.932385721964|0.0209241379499|0.0204718620678
1162715|5707.88|31.89|4.563|0.053|0.082|0.03|0.937432605008|0.024952885307999998|0.024230406153199997
1163579|5732.15|38.03|4.493|0.062|-0.033|0.036|1.56575660802|0.0408311200198|0.0397598774323
1292666|5611.14|27.91|4.385|0.046|0.356|0.026|1.32612170645|0.038180379969099995|0.03713793322969999
1293671|5169.98|34.77|3.896|0.057|0.189|0.033|4.27764189709|0.191778669008|0.18240010615200003
1295195|4869.64|59.53|4.644|0.098|0.203|0.057|0.314955377907|0.00725666878108|0.00709475600431
1295597|5918.96|21.24|4.403|0.035|-0.105|0.02|1.29792232823|0.0339818037349|0.0331552206531
1429893|4909.08|68.45|4.703|0.113|0.112|0.066|0.300175100979|0.0072266014983|0.00706973589325
1432469|5571.98|32.19|4.428|0.053|0.208|0.03|0.72365517725|0.017640293225200002|0.017207714795599998
1434259|6422.48|28.24|4.104|0.047|0.107|0.027|7.37279316827|0.356250465832|0.33723024154799996
1434277|5788.25|29.98|4.512|0.049|0.134|0.028|0.916198274477|0.0212840221441|0.020846517610400003
1434708|5368.48|42.12|4.554|0.07|0.29|0.04|0.559971850897|0.014040218242899999|0.0136831960839
1435272|6260.13|113.67|4.124|0.187|0.204|0.11|3.9799680674099998|0.177825667824|0.16908991991500003
1570150|6223.29|27.45|4.36|0.045|0.011|0.026|1.6623357187099999|0.053219924592699995|0.051586646146
1570349|5854.38|92.35|4.18|0.152|-0.098|0.089|1.85207211122|0.08593621974860001|0.08171337670210001
1570915|4064.25|74.81|4.579|0.123|-0.223|0.072|0.142414821673|0.0144756659793|0.0132691814863
1572558|6095.17|34.01|4.397|0.056|0.016|0.032|1.47254202201|0.0498528809599|0.047980826293900006
1572895|5567.15|23.66|4.243|0.039|0.178|0.022|1.33308030448|0.0296897754218|0.028890540062799997
1575580|5835.59|21.62|4.448|0.036|0.07|0.02|1.06593031156|0.0276088099212|0.0268961167821
1718354|6751.66|46.74|4.139|0.077|-0.267|0.045|6.74365241846|0.40473189979|0.377708254356
1718401|6276.16|18.49|4.304|0.03|-0.053|0.017|1.7366983633700002|0.051669275773200005|0.050190504866800004
1718520|5903.81|65.38|4.082|0.108|0.141|0.063|2.9432376753900003|0.106101542884|0.102256531229
1718828|6425.67|18.65|4.17|0.031|-0.357|0.017|3.27052518105|0.0780826555019|0.07588207331130001
1719974|6104.61|15.09|4.329|0.023|0.106|0.013|3.2624555838700005|0.13850446334799998|0.131919080621
1721614|6062.77|16.41|4.127|0.027|-0.392|0.015|2.67449529113|0.103062186896|0.100652431699
1724975|5364.98|26.19|4.551|0.043|0.107|0.023|0.85325596975|0.018678136559|0.018373692621299998
1864124|6204.6|15.41|4.1|0.024|0.101|0.013|3.95704116991|0.11527471657600001|0.112040980155
1865136|6143.4|13.74|3.968|0.022|0.085|0.012|5.7262370032200005|0.21467943383699997|0.206234224505
1865305|6681.05|26.9|4.21|0.044|0.088|0.025|5.605806557799999|0.265672246232|0.251766428459
1867120|5728.61|24.56|4.216|0.041|-0.554|0.023|1.00307498153|0.030673841458200003|0.029571637454499998
1867630|6987.5|14.41|3.993|0.024|-0.023|0.013|7.93513664014|0.429432894467|0.40470819767
1869183|6430.27|25.62|4.1|0.042|0.205|0.024|6.08581374475|0.318516301447|0.301204520775
1869607|6167.66|29.47|4.109|0.049|-0.285|0.028|5.64921177678|0.31231282223900003|0.29308655663100003
1871176|6476.52|65.07|4.169|0.107|0.088|0.062|6.19406394351|0.361511463381|0.33855106729699996
1874365|5897.62|38.85|4.159|0.064|0.232|0.037|1.63230905713|0.119009653869|0.108771821828
1995845|5703.28|121.02|4.072|0.199|-0.18|0.117|1.98481041398|0.15891739423100001|0.144678700022
2010152|5634.51|29.02|4.417|0.048|-0.301|0.027|0.9907294682179999|0.021587743585599995|0.021088514793099998
2012565|6422.63|56.74|4.191|0.093|-0.123|0.054|2.94370599185|0.091725082008|0.0885336205686
2013503|5597.12|38.66|4.466|0.064|0.157|0.037|0.779959053423|0.0222305710791|0.0214595392045
2016248|5582.61|53.83|4.478|0.089|0.002|0.052|0.7632200696539999|0.034277029700599995|0.0325114193567
2016522|5620.26|37.65|4.614|0.062|-0.057|0.036|1.20525262465|0.034755823054400004|0.0335300771772
2016657|6061.96|104.14|4.438|0.171|-0.037|0.101|1.4238739497400001|0.0803233962461|0.0757703672584
2017135|5544.2|119.49|4.638|0.196|-0.062|0.116|0.657635928985|0.0311133525065|0.029739940811799998
2018631|6190.96|13.76|3.961|0.021|0.058|0.011|8.60399343488|0.332207693897|0.31872224657299997
2018701|5725.8|54.14|4.657|0.089|0.219|0.052|1.6556926701399999|0.05583463360759999|0.053861661530300003
2019761|6530.5|23.37|4.179|0.039|-0.039|0.022|3.0263468690499997|0.09748187371760002|0.09428995063660002
2019881|6343.24|159.39|4.142|0.262|-0.086|0.155|2.4094138171|0.0931250744588|0.08967976495510001
2141150|4705.4|75.39|4.687|0.124|0.052|0.073|0.260360107747|0.0136479194013|0.012891412712
2141787|5741.68|25.49|4.094|0.042|-0.009|0.024|2.9984964953400004|0.25016689791200003|0.22730643994199998
2155064|5885.8|62.45|4.237|0.103|-0.342|0.06|1.23084216523|0.0364613424824|0.0355924701859
2158047|5595.41|32.12|4.259|0.053|-0.025|0.031|2.17001576498|0.08456024114810001|0.0811613063625
2158548|5822.39|20.35|4.361|0.033|0.048|0.019|1.02031937786|0.0252844288343|0.0245658786331
2158641|5352.06|68.33|4.718|0.113|0.148|0.066|0.44159680051000005|0.00933549546683|0.009155176045629999
2158750|6513.62|19.24|4.134|0.032|0.211|0.018|4.11353222643|0.154269160177|0.14782826437000002
2159852|7064.25|20.07|4.085|0.033|-0.165|0.019|7.0049688983300005|0.328689749549|0.310148797754
2162377|5930.67|26.83|3.986|0.044|-0.264|0.025|4.65212528422|0.211770962137|0.201113819577
2163326|5485.65|76.99|4.635|0.127|0.037|0.074|0.582102818491|0.0193894495304|0.0186575724298
2164031|6037.23|34.94|4.438|0.058|-0.134|0.033|1.7440684401|0.07583776051810001|0.0726506335183
2164726|6716.34|37.16|4.097|0.061|-0.047|0.035|13.160753208900001|0.78540418932|0.733507938531
2165356|5823.28|51.8|4.061|0.085|0.036|0.05|5.82412138642|0.22826258706|0.21841856949900001
2167151|5760.85|32.77|4.453|0.054|-0.215|0.031|0.9705797168089999|0.0256181342258|0.024907247597599998
2167600|6764.22|39.55|3.738|0.065|0.196|0.037|22.290450956100003|1.7541167636500001|1.58650387706
2282919|8191.63|109.76|4.009|0.181|0.278|0.105|0.489827172921|0.0376037921561|0.034369677644
2283186|5332.01|51.44|4.595|0.085|-0.008|0.049|0.988902273387|0.0705340092163|0.06460394164340001
2283541|5560.7|23.68|4.567|0.039|0.338|0.022|0.6955978887369999|0.018368431571099998|0.0177569660156
2283703|5183.18|47.68|4.539|0.079|-0.155|0.045|0.462770616154|0.0225023478383|0.021296041677999998
2284312|4674.7|49.02|4.728|0.081|-0.22|0.047|0.24737878091499999|0.0101306281401|0.00964678802404
2297468|5839.24|18.99|4.512|0.031|0.008|0.016|0.9384563975970001|0.0234006839756|0.0227561910292
2298013|6198.67|76.32|4.334|0.126|-0.008|0.073|1.9019097621799999|0.0684932186013|0.066080864786
2299738|5091.77|51.4|4.604|0.085|0.062|0.049|0.367196844445|0.00892048867557|0.00869442162928
2300631|6413.56|60.31|4.101|0.099|0.159|0.058|3.5512485618199996|0.17189182107700002|0.162729178203
2301367|5812.03|88.39|4.459|0.145|-0.051|0.086|1.8631099445500001|0.0862253918092|0.08179861910069999
2302288|5953.31|21.35|4.445|0.035|0.089|0.019|1.7729422999000002|0.0495458747542|0.048364839124400004
2303102|5352.57|23.94|4.631|0.039|0.206|0.022|0.556383566745|0.0131115601387|0.012840704369
2303459|5755.45|75.45|4.542|0.124|0.047|0.073|0.83114423222|0.0464655952821|0.0438328590785
2305498|5656.9|45.96|4.065|0.076|0.033|0.044|1.94999441354|0.098459714608|0.0932135092317
2309030|5399.84|70.51|4.567|0.116|0.238|0.068|1.07767906356|0.0280503963239|0.0272212799413
2311350|5111.63|54.18|4.748|0.089|0.009|0.052|0.358494452652|0.00870336485234|0.00849168012298
2424302|4644.1|38.04|4.724|0.063|-0.324|0.036|0.212861394249|0.00581891400865|0.00565861368714
2424682|4668.44|65.92|4.645|0.109|-0.092|0.063|0.28155334193000003|0.009257501000209998|0.00893372036577
2437996|5749.75|36.5|4.592|0.06|0.103|0.035|1.00446580676|0.029082144327099997|0.0282672259021
2438757|6573.88|18.28|3.941|0.03|-0.042|0.017|12.4551166734|0.763365228409|0.710167836451
2439140|5807.73|20.51|4.539|0.034|0.121|0.019|1.6647712848299998|0.0402970866984|0.0393896991214
2439469|6298.01|44.54|4.248|0.073|-0.12|0.043|5.75290854929|0.434357977634|0.398475564115
2441470|6271.82|20.14|4.343|0.033|0.054|0.018|2.1494643226499996|0.062330061076|0.0601424560336
2441648|6210.14|40.03|4.112|0.066|-0.274|0.038|3.4753212936400004|0.165635160383|0.157604874572
2441864|6142.3|30.4|4.328|0.05|0.181|0.029|2.85111130076|0.0618127723955|0.060583729496
2442551|5920.18|28.63|4.555|0.047|0.2|0.027|1.0529763815000002|0.027100154838900003|0.0264049980017
2443863|6375.79|18.29|4.282|0.03|0.058|0.017|2.64586792052|0.117871968637|0.112142175288
2445004|5999.43|17.37|4.461|0.024|0.056|0.014|1.3672754534799998|0.027326548290400002|0.0268356616909
2446436|6347.83|23.39|4.305|0.039|0.131|0.022|6.10357309425|0.414367769613|0.38118452107699996
2446957|6053.97|32.64|4.39|0.054|-0.013|0.031|1.513227122|0.0460069953142|0.044479521374699994
2448426|6005.79|17.15|4.394|0.025|-0.068|0.014|1.42502756732|0.0326899436032|0.0318590863364
2448874|5372.72|68.65|4.562|0.113|0.206|0.066|0.600433457403|0.0140496643506|0.013723978664500001
2450836|5075.66|36.93|4.666|0.061|0.283|0.035|0.446508235608|0.00994065375599|0.009753456818469999
2451037|6314.11|18.85|4.319|0.031|-0.04|0.017|1.9554744951499998|0.0721604676702|0.0692280666772
2452118|5915.31|41.4|4.392|0.068|0.18|0.039|1.5528884015|0.0530403945046|0.051279907416400004
2452505|5527.71|52.22|4.573|0.086|-0.188|0.05|1.24836680409|0.0370874164404|0.035758001126800006
2553816|5690.28|43.01|4.409|0.071|0.147|0.041|0.9461220244390001|0.0326398835278|0.0314604679833
2556702|5390.1|84.08|4.652|0.138|0.065|0.081|0.5791010203320001|0.0277287954287|0.026401982773099998
2571417|6656.35|40.89|3.96|0.067|0.105|0.039|16.5557124402|0.801360439522|0.759695456294
2571548|6383.56|14.86|4.282|0.023|0.006|0.012|2.35084559448|0.05423433685219999|0.052762091045300004
2571934|6359.88|18.73|4.18|0.03|0.085|0.016|3.26074231805|0.074871383379|0.0728198622319
2572318|5842.96|25.47|4.562|0.042|0.084|0.024|1.01238559769|0.0277975711799|0.026996994963599998
2575518|5507.63|29.76|4.555|0.049|-0.172|0.028|0.718519745253|0.0163864985545|0.016028382517200002
2577900|6469.88|20.31|4.177|0.034|-0.185|0.019|3.0913114495599996|0.124879685056|0.119931812782
2579453|5893.44|89.83|4.191|0.148|0.198|0.087|2.7603715947400005|0.20647339783399998|0.18978525483800002
2581014|5868.7|37.49|4.104|0.062|0.287|0.035|2.9914105219400002|0.12192472658|0.116589480348
2583777|5880.44|21.65|4.344|0.035|0.017|0.02|1.43982086815|0.04235885403030001|0.041293123048300004
2585256|6304.56|28.23|4.373|0.047|0.017|0.026|3.8295549331400003|0.341244801784|0.304194835867
2585767|5446.64|36.13|4.672|0.06|0.259|0.034|0.5679981422339999|0.013473057049200002|0.013179431814700002
2695478|6549.29|21.8|4.128|0.036|-0.012|0.02|8.24684326025|1.0604566309899999|0.896731234629
2696205|5300.3|42.13|4.673|0.07|0.249|0.04|0.428810656901|0.019885379044|0.0189214840875
2706738|6230.7|26.24|4.261|0.043|0.119|0.024|2.48008224352|0.0690593693005|0.0667923632895
2707130|6448.71|32.86|4.234|0.054|-0.127|0.031|2.8408440445200003|0.124573157514|0.119065422884
2708367|6117.09|24.71|4.285|0.041|0.113|0.023|1.8976690392700002|0.0548861786494|0.052967546233400005
2708573|6584.29|28.24|4.15|0.046|-0.021|0.027|3.6016496034199994|0.17023359732700002|0.161336171803
2709654|6515.59|12.1|4.212|0.018|-0.199|0.01|3.0711499753400004|0.0701367501551|0.068281867642
2710992|5975.13|61.51|4.421|0.101|0.071|0.059|1.60458941813|0.0804071496337|0.07617007577160001
2712825|6437.3|21.81|4.227|0.036|0.0|0.02|2.39540191907|0.0835041030907|0.0804601177469
2713187|6173.58|12.71|4.056|0.02|-0.04|0.011|6.77389937316|0.287331451681|0.274657476076
2714022|5705.08|47.08|4.335|0.078|0.043|0.045|1.13244919233|0.0548504833464|0.052161164141499995
2714250|5250.77|23.89|4.615|0.04|0.19|0.022|0.5030766626600001|0.0114852306102|0.011267551818699999
2714947|5949.22|16.31|4.387|0.027|0.149|0.015|1.45076646581|0.0378567562621|0.0366190248082
2714951|5642.09|20.08|3.933|0.032|0.316|0.017|2.33329303201|0.08138002814619999|0.0784225039899
2714954|5584.21|83.81|4.084|0.138|0.038|0.081|1.4839197226700003|0.0719370005714|0.0681633843769
2715319|6302.94|23.3|3.98|0.038|-0.049|0.022|7.973858008960001|0.496654071614|0.462657332165
2715686|5174.66|24.78|4.706|0.041|-0.111|0.023|0.410558724753|0.008621138665450001|0.00845652610913
2715701|6459.46|13.53|4.237|0.021|-0.15|0.012|5.38027814245|0.262249641019|0.24853352971099998
2716872|5687.23|97.81|4.428|0.161|0.088|0.095|1.00620933356|0.0490770021239|0.0468087121764
2717448|5820.35|112.9|4.596|0.186|0.092|0.109|1.06956661663|0.0315564764504|0.0305319893616
2719755|5817.08|118.62|3.678|0.195|-0.378|0.115|8.20741198789|0.38505233060099997|0.365282876274
2720162|5761.97|36.51|4.391|0.06|-0.01|0.034|2.23786127837|0.11851627337099999|0.111411902922
2721978|6112.0|93.97|4.082|0.155|-0.059|0.091|4.9850030404300005|0.278792597917|0.261748092401
2722192|5704.93|73.61|4.515|0.121|0.153|0.071|0.8364257345749999|0.0162164890245|0.0159344709603
2722262|5525.78|46.74|3.702|0.077|-0.227|0.045|11.656347778499999|0.8670341818709999|0.792138598204
2722663|6101.01|65.1|4.209|0.107|-0.18|0.063|1.5774201009|0.055832514503300006|0.05395352813490001
2831113|5010.02|32.68|4.625|0.054|0.177|0.03|0.39395554959600004|0.00779220264541|0.00767621555314
2831133|5531.57|97.93|4.43|0.161|-0.029|0.095|0.815401471023|0.0831086287161|0.07389306629339999
2831983|4313.9|44.75|4.687|0.074|-0.106|0.043|0.141573979934|0.00223200661668|0.00220069974992
2832099|6167.68|13.82|4.32|0.022|0.111|0.011|3.5154712931699996|0.0954676814314|0.09293453262460001
2832402|5307.55|30.02|4.636|0.05|-0.036|0.029|0.46990691158|0.00957531929803|0.0093980175068
2832484|6496.92|19.06|4.203|0.031|-0.103|0.018|2.19477211502|0.11468528300999999|0.10808543008199999
2832511|5707.3|17.4|3.666|0.029|0.097|0.016|10.6461989286|0.627466715361|0.583648824091
2834481|6230.93|12.66|4.029|0.019|-0.08|0.01|6.16899255845|0.17949755005600002|0.174700306895
2847764|6539.91|55.33|4.123|0.091|-0.146|0.053|2.89047741087|0.09657334747539999|0.0933006828218
2847891|6046.42|25.99|4.319|0.043|0.102|0.024|1.6833135280000002|0.057721090144999994|0.0554621851327
2848223|5936.49|33.26|4.492|0.055|0.065|0.031|1.2017732369499998|0.033613679364099994|0.0324712068601
2849148|6480.98|15.01|4.234|0.023|0.006|0.013|2.9367729482800002|0.08794849688449999|0.08562522537070001
2850321|6665.65|19.98|4.238|0.029|0.143|0.016|5.6950682938|0.203390531605|0.195384737553
2851278|6394.65|34.93|4.161|0.058|-0.512|0.033|4.93182984091|0.273938204969|0.256855023913
2853668|5984.37|14.01|4.295|0.021|0.244|0.012|1.9319985063299998|0.0453215549753|0.0442583256215
2854518|5335.05|15.86|3.821|0.026|-0.071|0.014|4.77275129266|0.188527378017|0.180376780568
2855385|5487.01|46.53|4.547|0.077|0.179|0.044|0.792650369881|0.0248471690526|0.0240649059485
2855572|4944.43|38.12|4.699|0.063|-0.068|0.036|0.329430588824|0.00653332814289|0.0064030252332599995
2859024|5704.88|20.19|4.525|0.033|0.013|0.018|0.9071873584379999|0.059237757435999995|0.0547471343865
2860135|5074.85|115.0|4.67|0.189|0.216|0.111|0.348513060789|0.0147736000074|0.014193741167799999
2862021|6109.06|99.57|4.301|0.164|0.009|0.096|1.7300297260099997|0.103159950954|0.0963632634234
2969989|5587.75|23.46|4.582|0.039|0.076|0.022|0.702001928725|0.014275128839799998|0.013941666291399998
2971717|4385.54|39.95|4.713|0.066|-0.104|0.037|0.160532750305|0.00355354599883|0.0034881064284799997
2974459|5804.39|18.57|4.228|0.03|0.035|0.017|1.9111480155200002|0.054688678419699994|0.0532116104067
2974471|5891.08|35.2|4.442|0.058|0.03|0.033|1.2059326947600002|0.0313594895525|0.0306253764108
2984144|4349.86|46.51|4.655|0.077|-0.298|0.045|0.277985076267|0.00583528339946|0.005711457531399999
2984505|6735.63|23.87|4.15|0.04|-0.037|0.022|8.07899247102|0.36343548103900003|0.34591901036899997
2984632|6793.14|12.24|4.188|0.02|-0.183|0.011|6.231094421569999|0.266929264758|0.254358413362
2984755|5625.78|26.86|4.65|0.044|0.208|0.025|0.6657284411819999|0.0175813592614|0.017114332733
2985262|5674.42|61.57|4.65|0.101|0.306|0.059|0.908171825415|0.0257244074706|0.02490244324
2985366|4115.73|44.31|4.319|0.073|-0.169|0.042|0.127870054531|0.0024479046799|0.00241017884686
2985814|5552.79|61.49|4.69|0.101|0.006|0.059|0.711453673038|0.0223987749606|0.0216195357315
2987856|6048.6|33.94|4.353|0.056|0.046|0.032|1.6170919255399998|0.0389045734613|0.037791083908800004
2988964|6582.83|82.09|3.943|0.135|0.057|0.079|12.210753804400001|0.8774870842479999|0.804790327589
2989266|6442.33|55.68|3.902|0.092|0.063|0.053|18.502843956099998|1.37181507125|1.25171216162
2991281|5722.98|32.62|4.042|0.054|-0.201|0.031|2.15340677376|0.0976716790965|0.0936529188333
2993133|5545.69|32.13|4.606|0.053|-0.048|0.031|0.973546893895|0.024588562286400002|0.0240707522924
2996339|5998.62|62.42|4.303|0.103|-0.014|0.06|1.44354064024|0.05484977902319999|0.0528165632432
2997239|6160.98|43.86|4.305|0.072|-0.018|0.042|1.67628491083|0.049648238913|0.0477802310856
2997910|5731.66|98.61|4.357|0.162|0.083|0.095|1.06723489081|0.0682196044567|0.06376174142530001
2998253|6279.55|14.06|4.165|0.022|0.076|0.012|2.9917735910900003|0.06218165612430001|0.0611980590209
2998285|5785.95|53.72|4.474|0.089|0.073|0.052|0.948269533504|0.0391875799429|0.037671174284699994
2998474|5575.9|77.78|4.429|0.128|-0.32|0.075|1.21760000565|0.0672825345487|0.0633949901155
3097331|5237.0|110.53|4.492|0.182|0.137|0.107|0.6839426801109999|0.015483019954200001|0.0150545789355
3098833|6194.11|77.33|4.267|0.127|0.298|0.075|3.37406568385|0.32083072204|0.285984737376
3100623|5713.84|51.81|3.945|0.079|0.092|0.048|6.4570983689100006|0.616023659513|0.546866266941
3100994|4027.76|67.71|4.513|0.112|-0.068|0.064|0.131652962336|0.0027435761906599997|0.00269777044793
3102595|5870.5|32.8|3.941|0.053|0.316|0.029|5.67449781409|0.17372602980300003|0.168910182504
3109924|6807.89|15.26|3.908|0.023|0.148|0.012|19.8711331457|1.4794282890200001|1.34736306085
3110870|5730.21|59.63|4.536|0.098|0.06|0.057|0.6874872100499999|0.0306211347337|0.029233283649599998
3111610|5528.81|30.23|4.58|0.05|0.065|0.028|0.641956756112|0.016358436910999998|0.0159750459235
3111655|6300.25|48.81|4.085|0.08|0.316|0.047|6.02311317331|0.44040807135|0.403895474358
3112131|5986.98|31.35|4.437|0.051|0.111|0.029|1.28672916059|0.042756467282099996|0.0412028610222
3113301|5560.94|27.25|3.933|0.045|0.289|0.025|2.7441617689899998|0.0998454723709|0.0959452970519
3113668|6312.27|16.74|4.312|0.027|-0.072|0.015|2.07702867282|0.06966730097089999|0.06740332000219999
3113947|5682.45|49.53|4.452|0.082|-0.184|0.047|0.9662129799860001|0.0290167205095|0.0282056917184
3114357|5220.96|70.24|4.783|0.116|0.141|0.068|0.40175474051700005|0.0090118177299|0.008834630342360001
3115669|6251.02|41.51|4.114|0.068|0.202|0.04|5.19259563322|0.28844185483|0.269692336277
3116135|5725.34|53.47|4.561|0.088|0.158|0.051|0.787192847479|0.0374739221457|0.035547751463
3116513|6014.56|20.74|4.404|0.034|-0.153|0.019|1.28918919019|0.033753541944|0.032864392330800005
3118654|5537.75|50.72|4.484|0.084|-0.043|0.049|0.710346053483|0.017580782474200002|0.0171574705534
3118732|6028.68|95.26|4.415|0.157|-0.018|0.092|1.3400198206|0.0373818790354|0.036432388574599996
3119227|5659.83|43.3|3.639|0.071|0.285|0.041|14.5569108|0.6536101799930001|0.622135823828
3119250|5720.4|39.32|4.213|0.065|0.293|0.037|2.0754404927000003|0.0630088681389|0.061283275540500004
3120356|5835.68|79.84|4.417|0.131|0.007|0.077|1.05701821097|0.0625482097738|0.0585828860753
3123191|6423.18|15.37|4.253|0.022|-0.063|0.012|3.73095947297|0.157042024462|0.150074537309
3123292|4904.19|106.0|4.704|0.174|-0.065|0.103|0.32027898483|0.0103090875777|0.009979824446559999
3123886|5180.75|58.19|4.293|0.096|-0.449|0.056|2.72779286293|0.33193713879000003|0.289090544997
3124465|5926.57|14.04|3.935|0.02|-0.184|0.012|11.9838238207|0.295401514016|0.28933662596299997
3127549|5903.87|54.2|4.124|0.089|0.241|0.052|2.9315198112900003|0.117198655137|0.11214222974600001
3128830|6535.81|101.05|4.218|0.166|0.064|0.098|4.3490128082599995|0.226629292461|0.21331580341899997
3130343|5616.41|44.5|4.456|0.073|-0.121|0.043|0.652533882706|0.0175782124783|0.017193279640099996
3130425|5324.15|108.1|4.569|0.178|0.1|0.105|0.5195536433169999|0.011827249149799999|0.011551027883
3216838|5188.17|38.38|4.673|0.063|0.148|0.037|0.800168726618|0.0425537814965|0.040149306215
3217404|6441.14|12.09|4.168|0.02|-0.125|0.011|3.05958472301|0.118039326766|0.11329729158299999
3217767|5659.66|28.49|3.921|0.047|-0.841|0.027|3.16351300487|0.217140240176|0.20104405741999998
3221352|6267.54|27.14|4.23|0.045|0.118|0.025|5.671898150850001|0.574876466069|0.507785084675
3221538|5934.27|49.95|4.381|0.082|0.007|0.048|1.39509627495|0.0722773962671|0.0684281184583
3221638|6845.12|49.25|3.972|0.081|0.021|0.047|9.46749819533|0.6191428026100001|0.5711475237929999
3222369|4422.28|63.7|4.325|0.105|-0.178|0.061|0.237389678956|0.006149605104199999|0.00599218468396
3223374|6460.21|27.08|4.153|0.044|0.066|0.025|3.4264018227999995|0.10198374893500001|0.09871974362050001
3232211|5788.6|35.73|3.904|0.059|-0.059|0.034|4.96240427352|0.191773582418|0.183541996741
3232231|6290.91|17.53|4.212|0.028|0.159|0.015|4.47844899191|0.16369599648|0.157375959761
3232697|5835.04|20.59|4.444|0.034|-0.075|0.019|0.899428228167|0.0194729629866|0.0191267607088
3233234|5551.27|25.39|4.605|0.042|0.155|0.023|0.628637204772|0.0133639295619|0.0131393179551
3233588|6138.54|123.09|4.376|0.203|0.155|0.118|2.84714624482|0.125528588889|0.11969883293500001
3233612|4637.42|32.06|4.688|0.053|-0.136|0.029|0.239646021283|0.00426487358452|0.00419983807877
3233908|6150.37|20.62|4.382|0.03|0.191|0.017|1.8075756363599997|0.0444788627692|0.0432123536714
3234449|5443.4|24.17|4.623|0.04|-0.033|0.022|0.5574645260100001|0.0137889076908|0.013541733606700001
3236788|5734.41|156.38|4.468|0.219|0.128|0.147|1.01429813836|0.032739180934|0.0317827459256
3238591|5341.19|42.32|4.73|0.07|0.192|0.04|0.48445910638000006|0.009929156522479998|0.00976680660532
3239926|6649.35|15.51|3.839|0.024|0.115|0.013|18.220492144|0.9261477422550001|0.8737817095739999
3240623|5574.02|21.84|4.34|0.035|-0.091|0.018|0.72746125768|0.015532867550299999|0.015281441032100001
3240801|5403.96|59.84|4.636|0.099|0.079|0.057|0.463884583003|0.0152115999949|0.014745244480299999
3241761|5824.78|28.49|4.41|0.047|-0.137|0.027|0.978752004515|0.0238481121637|0.0233434188777
3241975|5456.29|63.86|4.494|0.105|0.13|0.061|0.63260833695|0.014792595629100002|0.014512800696299998
3247139|6027.61|63.03|4.284|0.104|-0.054|0.061|4.17092350266|0.127427868768|0.123931609504
3324744|4755.26|55.34|4.709|0.091|-0.035|0.053|0.295736938004|0.010387619487799999|0.009988747687579999
3325344|4827.71|69.94|4.737|0.115|-0.165|0.067|0.253695636703|0.00694488717208|0.006740368685680001
3326108|5223.16|26.83|4.692|0.044|0.072|0.025|0.485507601904|0.017106952377400002|0.016506231507
3327681|6555.38|13.8|4.095|0.021|-0.008|0.011|8.416457611930001|0.27055906031300003|0.261116771231
3327742|5929.73|41.16|4.23|0.068|-0.215|0.039|1.5796270105899999|0.110401638565|0.10194644130000001
3328210|4381.66|66.76|4.57|0.11|0.094|0.064|0.19151042370000002|0.005480110392409999|0.0053244075529
3328295|6592.26|12.82|4.204|0.02|-0.359|0.011|3.87747326685|0.100291899078|0.09793684018950001
3328711|4349.81|72.45|4.503|0.119|0.115|0.07|0.266175469282|0.0118381418509|0.0112819094075
3328827|5549.69|40.25|4.407|0.066|0.196|0.038|0.833598170708|0.04226789661619999|0.0400467170418
3330409|5554.69|29.95|4.469|0.05|-0.401|0.028|0.6399114008169999|0.0140318456388|0.013744623684600001
3330572|5931.53|125.3|4.326|0.206|-0.032|0.121|2.64784546298|0.11705845707999998|0.111359433619
3330620|5320.53|57.71|4.654|0.095|0.132|0.055|0.508596260638|0.0187761398493|0.0180414767654
3330773|4889.72|90.63|4.706|0.149|0.089|0.087|0.304378663374|0.00828049805579|0.00800584366626
3336001|6546.89|30.57|4.084|0.05|-0.168|0.029|3.1542033795499997|0.164596761747|0.15518706904500001
3336146|5571.83|31.08|4.561|0.051|-0.078|0.029|1.2700616266299998|0.050354528613|0.0483120299441
3338421|6264.41|25.34|3.983|0.042|0.167|0.024|8.97095429255|0.471186771494|0.443224139278
3339186|6438.85|11.23|4.082|0.016|-0.161|0.009|12.317197934100001|0.598049963957|0.566028129842
3340593|5637.4|26.76|4.587|0.044|0.075|0.025|0.618498161295|0.019974421590200003|0.019406694523200003
3340807|5721.47|25.48|4.133|0.042|0.128|0.023|4.0820092281300004|0.16235075904100002|0.155811220261
3340951|6127.88|26.82|4.394|0.045|0.14|0.025|1.73536686837|0.05288573227530001|0.051253166726
3341998|5310.12|46.6|4.564|0.077|-0.187|0.044|0.550600830643|0.0139966620614|0.0137120853464
3342779|6367.68|13.22|4.301|0.021|-0.163|0.011|2.3580116916|0.07443782742100001|0.0722336699322
3342952|5465.23|19.24|4.41|0.031|0.132|0.017|0.691420713293|0.014287242250700001|0.0140458455431
