kicnumber|teff_lamost_lasp|teff_lamost_lasp_err|logg_lamost_lasp|logg_lamost_lasp_err|feh_lamost_lasp|feh_lamost_lasp_err|Lum_gaia|E_Lum|e_Lum
10859606|5833.0|21.76|4.187|0.036|0.238|0.019|2.04643057102|0.0636038465333|0.0616680258839
10860133|6037.33|21.39|4.176|0.035|0.222|0.019|2.50374742816|0.0872770218101|0.084227453146
10861064|5090.87|55.43|4.684|0.091|-0.05|0.053|0.387973127227|0.0192822004627|0.0182906873205
10861194|5537.17|71.75|4.461|0.118|-0.003|0.069|0.757875976831|0.0390799782766|0.0370110044103
10862017|5221.34|44.7|4.666|0.074|-0.072|0.042|0.828405080006|0.020515463363|0.019937652262299998
10862542|5709.32|46.88|4.151|0.077|0.232|0.044|2.03095492355|0.060486843250099995|0.0583279592612
10863146|6224.22|19.4|4.185|0.032|-0.065|0.018|3.8008654413199996|0.129188145353|0.125081786834
10863638|5564.47|39.6|4.374|0.065|0.129|0.037|1.80213358195|0.0497779646323|0.048471434805
10864215|6361.04|16.88|3.847|0.026|0.121|0.014|14.3668881072|0.55123302702|0.5294244266229999
10864577|4773.17|95.47|4.716|0.157|-0.198|0.092|0.257458734444|0.006427984073300001|0.0063028987904300005
10864696|5961.31|17.88|4.022|0.029|0.113|0.016|6.133980881519999|0.27737158397399997|0.263526131841
10865206|4684.77|61.69|4.425|0.102|-0.078|0.059|0.42762221832099995|0.00921831249807|0.00905779272602
10865652|5404.47|43.33|4.473|0.071|0.247|0.041|1.54984521188|0.115037408215|0.105306036842
10865801|6335.04|23.87|4.203|0.039|-0.039|0.022|2.43047961642|0.09496075741530001|0.09138252260369999
10866710|5713.54|35.13|4.526|0.058|-0.062|0.033|0.8076340781870001|0.0497996513963|0.0465665190627
10872864|5788.6|15.35|4.358|0.025|-0.105|0.014|1.18168633691|0.0257858222781|0.0252682178003
10874032|6261.21|11.48|4.335|0.018|-0.041|0.01|2.09515689998|0.0495534945895|0.0483803445642
10874820|6038.47|37.66|4.103|0.062|0.045|0.036|5.84718587373|0.203935957106|0.196382535592
10874973|5244.62|82.51|4.81|0.136|0.074|0.08|0.384005627698|0.006623981474229999|0.0065123311281199995
10875733|5961.27|23.54|4.23|0.039|0.251|0.022|3.1816226851|0.11698753532400001|0.11268414665200001
10875935|5997.07|13.02|4.133|0.021|0.131|0.011|3.48186615115|0.11296554822|0.10935456906400001
10876938|5597.55|94.04|4.536|0.155|0.034|0.091|0.630857085875|0.0113039704336|0.011063097559799999
10877084|5956.69|59.03|4.449|0.097|0.249|0.057|1.30236410856|0.030325999841299998|0.029525902823400004
10877598|5534.71|55.82|4.574|0.092|0.184|0.054|0.691008985973|0.0332698642378|0.0316832161967
10877669|5785.01|100.37|4.424|0.165|0.23|0.097|1.06595947918|0.0549438698647|0.052133118859199995
10878191|6102.86|20.8|4.342|0.034|0.047|0.019|1.7932213192900002|0.0636755428287|0.061357562923600006
10879174|5979.84|52.02|4.415|0.086|0.001|0.05|1.5209854976100001|0.10660391431800001|0.0989318678385
10879850|6089.55|18.87|4.086|0.031|0.272|0.017|5.60296373905|0.20295339482000002|0.19575049663400002
10879899|6445.45|31.31|3.88|0.052|0.188|0.029|16.611056988399998|1.25409665161|1.1427812531200001
10880041|6800.14|17.76|3.765|0.029|0.104|0.015|19.8771082372|1.31609257134|1.2134050396
10880782|6215.91|31.68|4.369|0.052|-0.042|0.03|1.79875813021|0.057756743748900004|0.0557543624211
10904269|5331.63|24.16|4.582|0.04|0.06|0.022|0.5425799402229999|0.00839296299522|0.00827370657884
10905173|5131.84|49.62|4.586|0.082|-0.04|0.047|0.381245206244|0.006999332764710001|0.006907410079399999
10907438|6098.18|16.86|3.954|0.024|0.154|0.014|6.754924937899999|0.21724359201|0.21049518572200002
10907568|5889.74|46.56|4.451|0.077|-0.185|0.045|1.10853914942|0.0314558007804|0.030541962732
10908262|5767.2|19.27|4.045|0.028|0.338|0.015|2.5783679347299997|0.0610328589317|0.0598629481393
10909098|6192.52|15.23|4.353|0.025|-0.042|0.014|1.78865577417|0.0608034307831|0.0587235833428
10909674|5805.24|121.17|4.066|0.199|-0.295|0.117|2.72301188856|0.0970517179314|0.09339365510770001
10909724|6075.42|37.55|4.055|0.062|0.277|0.036|4.1143585298500005|0.130705283714|0.126655834478
10909987|5720.27|58.61|4.397|0.097|0.004|0.056|1.7230558866699999|0.0545771293858|0.052595835836899994
10910208|5930.49|36.69|4.479|0.06|0.147|0.035|0.870221369668|0.0272428791498|0.0264803147316
10910862|5343.86|33.77|4.617|0.056|0.249|0.032|0.555338947515|0.014907886554299999|0.014592142531700002
10913610|4334.94|40.42|4.531|0.067|0.115|0.037|0.20122548559599998|0.005257862168909999|0.005122258900409999
10913658|5573.86|52.27|4.672|0.086|0.066|0.05|0.680222545292|0.0354846698121|0.0334429778833
10913705|4914.36|51.32|4.789|0.085|-0.056|0.049|0.290390599106|0.0114567461018|0.0110693546718
10913968|5630.73|43.8|4.554|0.072|-0.019|0.042|0.740383179553|0.0197290505978|0.0193138104162
10914006|5708.42|73.9|4.589|0.122|-0.056|0.071|0.909595015118|0.06572200412309999|0.0606657500947
10914268|5885.9|65.68|4.076|0.108|0.118|0.063|7.357248923210001|0.388248292333|0.365076876879
10914339|5608.34|30.33|4.266|0.05|0.184|0.028|1.6749282110100001|0.0580340944213|0.0561499868821
10916554|5590.49|23.07|4.617|0.037|0.105|0.02|0.9331747683920001|0.024430422680700004|0.023877516088400004
